map_state,existing_state
Andaman & Nicobar,andaman-&-nicobar-islands
Andhra Pradesh,andhra-pradesh
Arunachal Pradesh,arunachal-pradesh
Assam,assam
Bihar,bihar
Chandigarh,chandigarh
Chhattisgarh,chhattisgarh
Dadra and Nagar Haveli and Daman and Diu,dadra-&-nagar-haveli-&-daman-&-diu
Delhi,delhi
Goa,goa
Gujarat,gujarat
Haryana,haryana
Himachal Pradesh,himachal-pradesh
Jammu & Kashmir,jammu-&-kashmir
Jharkhand,jharkhand
Karnataka,karnataka
Kerala,kerala
Ladakh,ladakh
Lakshadweep,lakshadweep
Madhya Pradesh,madhya-pradesh
Maharashtra,maharashtra
Manipur,manipur
Meghalaya,meghalaya
Mizoram,mizoram
Nagaland,nagaland
Odisha,odisha
Puducherry,puducherry
Punjab,punjab
Rajasthan,rajasthan
Sikkim,sikkim
Tamil Nadu,tamil-nadu
Telangana,telangana
Tripura,tripura
Uttarakhand,uttarakhand
Uttar Pradesh,uttar-pradesh
West Bengal,west-bengal
